store_name,store_postal,product_name,persona,size_type,description,price_cad,unit,available,price_approximate,collection_date,needs_manual_review
Real Canadian Superstore Seymour Blvd,V7J 2J4,Basmati Rice,South Asian,small,Suraj Aged Basmati Rice 1.81kg (closest to 2kg),6,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Basmati Rice,South Asian,bulk,Daawat Basmati Rice 4kg (no 10kg available),19.49,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Whole Wheat Atta,South Asian,small,Fortune Whole Wheat Flour Chakki Fresh Atta 9.07kg (no smaller atta; Low Stock),17.99,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Whole Wheat Atta,South Asian,bulk,Aashirvaad Whole Wheat Flour 9.07kg,22.99,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Toor Dal/Red Lentils,South Asian,small,Suraj Toor Dal Dry 907g,4.99,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Toor Dal/Red Lentils,South Asian,bulk,Suraj Split Pigeon Peas 3.63kg (closest to 4kg),15,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Whole Milk,South Asian,small,Dairyland 3.25% Milk 1L,3.04,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Whole Milk,South Asian,bulk,Dairyland 3.25% Milk 4L,6.11,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Yellow Onions,South Asian,small,Farmer's Market Yellow Onions 3lb bag (1.36kg; sale $2.94 limit 2),2.94,each,TRUE,FALSE,2026-05-11,FALSE
Real Canadian Superstore Seymour Blvd,V7J 2J4,Yellow Onions,South Asian,bulk,Farmer's Market Yellow Onions 10lb bag (4.54kg),9.5,each,TRUE,FALSE,2026-05-11,FALSE
