store_name,store_postal,product_name,persona,size_type,description,price_cad,unit,available,price_approximate,collection_date,needs_manual_review
Real Canadian Superstore Seymour Blvd,V5K 0A1,Bok Choy,Chinese,bulk,Bok Choy by weight $3.95/kg,3.95,per_kg,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Bok Choy,Chinese,small,Baby Bok Choy 227g,2.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Eggs,Chinese,bulk,PC Free Run Eggs Large 18ct,8.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Eggs,Chinese,small,PC Free Run Eggs Large 12ct,5.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Jasmine Rice,Chinese,bulk,Three Rings Thai Jasmine Rice 10kg,22.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Jasmine Rice,Chinese,small,Three Rings Thai Jasmine Rice 5kg,13.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Pork Belly,Chinese,bulk,NOT FOUND – no bulk fixed pack,,each,False,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Pork Belly,Chinese,small,Pork Belly by weight $13.21/kg,13.21,per_kg,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Sesame Oil,Chinese,bulk,Kadoya Pure Sesame Oil 1L,12.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Sesame Oil,Chinese,small,Kadoya Pure Sesame Oil 327ml,5.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Silken Tofu,Chinese,bulk,Sunrise Fresh Pack Tofu Smooth 700g,3.59,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Silken Tofu,Chinese,small,Rooster Silken Tofu 454g,2.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Soy Sauce,Chinese,bulk,Kikkoman Soy Sauce 1.89L,8.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Soy Sauce,Chinese,small,Kikkoman Soy Sauce 250ml,2.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Tofu (Firm),Chinese,bulk,Sunrise Medium Firm Tofu 454g,2.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Tofu (Firm),Chinese,small,Sunrise Extra Firm Tofu 350g,3.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Carrots,European,bulk,Farmer's Market Carrots 5LB (2.268kg),7.0,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Carrots,European,small,Farmer's Market Carrots 2 lb bag (907g),3.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Cheddar Cheese,European,bulk,Armstrong Marble Cheddar Cheese 820g,13.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Cheddar Cheese,European,small,Armstrong Old Cheddar Cheese 600g,7.98,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Eggs,European,bulk,PC Free Run Eggs Large 18ct,8.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Eggs,European,small,PC Free Run Eggs Large 12ct,5.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Hunt's Diced Tomatoes,European,bulk,NOT FOUND – no 6-pack,,each,False,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Hunt's Diced Tomatoes,European,small,Hunt's Heirloom Diced Tomatoes 796ml,4.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Lean Ground Beef,European,bulk,Club Pack Lean Ground Beef by weight $17.61/kg,17.61,per_kg,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Lean Ground Beef,European,small,Butcher's Choice Lean Ground Beef 0.45kg,9.0,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Liberté Greek Yogurt,European,bulk,Liberté Greek 2% Yogurt Plain 750g,7.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Liberté Greek Yogurt,European,small,Liberté Méditerranée 9% Yogurt 500g,2.73,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Olive Oil,European,bulk,Bertolli Rich Taste Extra Virgin Olive Oil 2L,37.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Olive Oil,European,small,Bertolli Extra Light Taste Olive Oil 500ml,10.0,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Russet Potatoes,European,bulk,Farmer's Market Russet Potatoes 10 lb Bag (4.54kg),7.0,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Russet Potatoes,European,small,PC Russet Potatoes 5 lb Bag (2.268kg),5.5,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Whole Milk,European,bulk,Dairyland Homo Milk 4L,7.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Whole Milk,European,small,Dairyland Homo Milk 1L,2.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Whole Wheat Bread,European,bulk,Deli World 100% Whole Wheat Sandwich Bread 900g,4.79,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Whole Wheat Bread,European,small,Wonder Whole Wheat Bread 570g,2.86,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Aroy-D Coconut Milk,Filipino,bulk,NOT FOUND – no 6-pack,,each,False,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Aroy-D Coconut Milk,Filipino,small,Aroy D Canned Coconut Milk 400ml,2.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Eggplant,Filipino,bulk,NOT FOUND – no pre-packed bulk,,each,False,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Eggplant,Filipino,small,Purple Eggplants by weight $6.59/kg,6.59,per_kg,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Eggs,Filipino,bulk,PC Free Run Eggs Large 18ct,8.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Eggs,Filipino,small,PC Free Run Eggs Large 12ct,5.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Fish Sauce,Filipino,bulk,Cock Fish Sauce 700ml,4.29,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Fish Sauce,Filipino,small,Cock Fish Sauce 200ml,1.5,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Frozen Tilapia,Filipino,bulk,Seaquest Tilapia Fillets Club Size 1kg,18.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Frozen Tilapia,Filipino,small,Seaquest Tilapia Fillets 400g,8.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Garlic,Filipino,bulk,Garlic 3-pack bag 0.21kg,2.5,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Garlic,Filipino,small,Garlic Loose Single Bulb ~0.1kg,0.88,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Jasmine Rice,Filipino,bulk,Three Rings Thai Jasmine Rice 10kg,22.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Jasmine Rice,Filipino,small,Three Rings Thai Jasmine Rice 5kg,13.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Pork Belly,Filipino,bulk,NOT FOUND – no bulk fixed pack,,each,False,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Pork Belly,Filipino,small,Pork Belly by weight $13.21/kg,13.21,per_kg,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,White Long Grain Rice,Filipino,bulk,No Name Long Grain White Rice 10kg,15.99,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,White Long Grain Rice,Filipino,small,No Name Long Grain White Rice 2kg,4.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,All-Purpose Flour,Indigenous,bulk,Robin Hood All Purpose Flour 10kg,14.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,All-Purpose Flour,Indigenous,small,No Name All Purpose Flour 2.5kg,4.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Eggs,Indigenous,bulk,PC Free Run Eggs Large 18ct,8.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Eggs,Indigenous,small,PC Free Run Eggs Large 12ct,5.49,each,True,False,2026-04-25,False
Real Canadian Superstore Seymour Blvd,V5K 0A1,Russet Potatoes,Indigenous,bulk,Farmer's Market Russet Potatoes 10 lb Bag (4.54kg),7.0,each,True,False,2026-04-25,False
